County,State,Online Assesment,Latitude (generated),Longitude (generated)
WOODFORD,Kentucky,1,38.0212,-84.7437
WOLFE,Kentucky,,37.7403,-83.489
WHITLEY,Kentucky,1,36.7804,-84.1636
WEBSTER,Kentucky,1,37.4948,-87.7015
WAYNE,Kentucky,2,36.8007,-84.8154
WASHINGTON,Kentucky,1,37.7743,-85.1824
WARREN,Kentucky,1,36.9834,-86.4059
UNION,Kentucky,1,37.6855,-87.9466
TRIMBLE,Kentucky,1,38.6152,-85.333
TRIGG,Kentucky,2,36.8204,-87.9047
TODD,Kentucky,2,36.8587,-87.1772
TAYLOR,Kentucky,2,37.338,-85.3025
SPENCER,Kentucky,1,38.0446,-85.3081
SIMPSON,Kentucky,1,36.7631,-86.5716
SHELBY,Kentucky,1,38.1963,-85.2104
SCOTT,Kentucky,1,38.3021,-84.5863
RUSSELL,Kentucky,2,37.0073,-85.0286
ROWAN,Kentucky,2,38.207,-83.4425
ROCKCASTLE,Kentucky,1,37.3462,-84.3152
ROBERTSON,Kentucky,2,38.5144,-84.0653
PULASKI,Kentucky,2,37.1116,-84.5965
POWELL,Kentucky,2,37.8252,-83.7968
PIKE,Kentucky,,37.471,-82.3248
PERRY,Kentucky,,37.2181,-83.1793
PENDLETON,Kentucky,1,38.6954,-84.3654
OWSLEY,Kentucky,,37.399,-83.6845
OWEN,Kentucky,1,38.5319,-84.8467
OLDHAM,Kentucky,1,38.4048,-85.4772
OHIO,Kentucky,1,37.4755,-86.8745
NICHOLAS,Kentucky,1,38.3265,-83.9972
NELSON,Kentucky,1,37.7582,-85.5289
MUHLENBERG,Kentucky,1,37.2285,-87.1373
MORGAN,Kentucky,1,37.9136,-83.2228
MONTGOMERY,Kentucky,1,38.0463,-83.92
MONROE,Kentucky,1,36.7285,-85.7189
METCALFE,Kentucky,1,37.0023,-85.6238
MERCER,Kentucky,,37.8246,-84.8676
MENIFEE,Kentucky,2,37.9388,-83.6113
MEADE,Kentucky,1,37.9991,-86.2525
MCLEAN,Kentucky,1,37.5321,-87.2117
MCCREARY,Kentucky,2,36.7781,-84.4911
MCCRACKEN,Kentucky,1,37.0851,-88.7237
MASON,Kentucky,2,38.6145,-83.8041
MARTIN,Kentucky,,37.8157,-82.526
MARSHALL,Kentucky,1,36.9053,-88.3329
MARION,Kentucky,1,37.5778,-85.2723
MAGOFFIN,Kentucky,,37.6908,-83.0969
MADISON,Kentucky,1,37.7168,-84.291
LYON,Kentucky,2,37.0257,-88.0819
LOGAN,Kentucky,1,36.8586,-86.8644
LIVINGSTON,Kentucky,2,37.2032,-88.3267
LINCOLN,Kentucky,,37.4428,-84.6585
LEWIS,Kentucky,2,38.5222,-83.3941
LETCHER,Kentucky,,37.1142,-82.8932
LESLIE,Kentucky,,37.1023,-83.3517
LEE,Kentucky,,37.6037,-83.7001
LAWRENCE,Kentucky,2,38.0749,-82.7514
LAUREL,Kentucky,1,37.1377,-84.1151
LARUE,Kentucky,1,37.5774,-85.7119
KNOX,Kentucky,2,36.8716,-83.8549
KNOTT,Kentucky,,37.3502,-82.9377
KENTON,Kentucky,1,38.9462,-84.535
JOHNSON,Kentucky,,37.8526,-82.8331
JESSAMINE,Kentucky,1,37.866,-84.572
JEFFERSON,Kentucky,1,38.1944,-85.6526
JACKSON,Kentucky,1,37.4156,-83.9961
HOPKINS,Kentucky,1,37.3381,-87.5846
HICKMAN,Kentucky,1,36.6502,-88.9928
HENRY,Kentucky,1,38.4671,-85.1459
HENDERSON,Kentucky,1,37.8072,-87.5774
HART,Kentucky,1,37.2995,-85.9087
HARRISON,Kentucky,1,38.4301,-84.3284
HARLAN,Kentucky,1,36.844,-83.2797
HARDIN,Kentucky,1,37.726,-85.94
HANCOCK,Kentucky,1,37.8268,-86.7573
GREENUP,Kentucky,1,38.5657,-82.9522
GREEN,Kentucky,2,37.2912,-85.5544
GRAYSON,Kentucky,1,37.4721,-86.3497
GRAVES,Kentucky,2,36.7244,-88.6522
GRANT,Kentucky,1,38.6403,-84.6381
GARRARD,Kentucky,2,37.6516,-84.55
GALLATIN,Kentucky,1,38.7594,-84.9018
FULTON,Kentucky,1,36.5746,-89.0626
FRANKLIN,Kentucky,,38.2397,-84.8667
FLOYD,Kentucky,2,37.5213,-82.7592
FLEMING,Kentucky,,38.3482,-83.6784
FAYETTE,Kentucky,2,38.0282,-84.4715
ESTILL,Kentucky,,37.6982,-83.9308
ELLIOTT,Kentucky,2,38.1318,-83.0627
EDMONSON,Kentucky,1,37.2033,-86.233
DAVIESS,Kentucky,1,37.7459,-87.0688
CUMBERLAND,Kentucky,2,36.7784,-85.408
CRITTENDEN,Kentucky,2,37.3369,-88.0854
CLINTON,Kentucky,2,36.7537,-85.1245
CLAY,Kentucky,1,37.1482,-83.7483
CLARK,Kentucky,2,37.9696,-84.156
CHRISTIAN,Kentucky,1,36.9104,-87.4781
CASEY,Kentucky,2,37.3273,-84.9335
CARTER,Kentucky,2,38.3367,-83.0088
CARROLL,Kentucky,1,38.6688,-85.1085
CARLISLE,Kentucky,1,36.8632,-88.9716
CAMPBELL,Kentucky,1,38.962,-84.3659
CALLOWAY,Kentucky,,36.6237,-88.2703
CALDWELL,Kentucky,2,37.1651,-87.8705
BUTLER,Kentucky,1,37.1976,-86.6579
BULLITT,Kentucky,1,37.9623,-85.7158
BRECKINRIDGE,Kentucky,2,37.8123,-86.4205
BREATHITT,Kentucky,2,37.5153,-83.3353
BRACKEN,Kentucky,1,38.7151,-84.0765
BOYLE,Kentucky,2,37.6248,-84.8608
BOYD,Kentucky,1,38.3696,-82.6985
BOURBON,Kentucky,,38.2195,-84.2238
BOONE,Kentucky,1,38.9622,-84.721
BELL,Kentucky,,36.7691,-83.6441
BATH,Kentucky,2,38.1478,-83.7763
BARREN,Kentucky,1,36.9559,-85.9523
BALLARD,Kentucky,1,37.0728,-89.0182
ANDERSON,Kentucky,2,38.0072,-84.9809
ALLEN,Kentucky,1,36.7821,-86.2158
ADAIR,Kentucky,2,37.1179,-85.3011
