County,Local_Health_Department_District,FID
Ballard,Purchase,1
Carlisle,Purchase,2
Fulton,Purchase,3
Graves,Purchase,4
Hickman,Purchase,5
Calloway,Purchase,6
Caldwell,Pennyrile,7
Christian,Pennyrile,8
Crittenden,Pennyrile,9
Hopkins,Pennyrile,10
Lyon,Pennyrile,11
Livingston,Pennyrile,12
Trigg,Pennyrile,13
Allen,Barren River,14
Barren,Barren River,15
Butler,Barren River,16
Edmonson,Barren River,17
Hart,Barren River,18
Logan,Barren River,19
Metcalfe,Barren River,20
Monroe,Barren River,21
Simpson,Barren River,22
Warren,Barren River,23
Daviess,Green River,24
Hancock,Green River,25
Henderson,Green River,26
McLean,Green River,27
Union,Green River,28
Webster,Green River,29
Breckinridge,Lincoln Trail,30
Grayson,Lincoln Trail,31
Hardin,Lincoln Trail,32
LaRue,Lincoln Trail,33
Meade,Lincoln Trail,34
Nelson,Lincoln Trail,35
Washington,Lincoln Trail,36
Boone,Northern Kentucky,37
Campbell,Northern Kentucky,38
Grant,Northern Kentucky,39
Kenton,Northern Kentucky,40
Pendleton,Northern Kentucky,41
Bath,Gateway,42
Elliott,Gateway,43
Menifee,Gateway,44
Morgan,Gateway,45
Rowan,Gateway,46
Harrison,WEDCO,47
Nicholas,WEDCO,48
Scott,WEDCO,49
Bell,Cumberland Valley,50
Clay,Cumberland Valley,51
Harlan,Cumberland Valley,52
Jackson,Cumberland Valley,53
Knox,Cumberland Valley,54
Laurel,Cumberland Valley,55
Rockcastle,Cumberland Valley,56
Whitley,Cumberland Valley,57
Adair,Lake Cumberland,58
Casey,Lake Cumberland,59
Clinton,Lake Cumberland,60
Cumberland,Lake Cumberland,61
Green,Lake Cumberland,62
McCreary,Lake Cumberland,63
Pulaski,Lake Cumberland,64
Russell,Lake Cumberland,65
Taylor,Lake Cumberland,66
Wayne,Lake Cumberland,67
Bracken,Buffalo Trace,68
Fleming,Buffalo Trace,69
Lewis,Buffalo Trace,70
Mason,Buffalo Trace,71
Robertson,Buffalo Trace,72
Breathitt,Kentucky River,73
Knott,Kentucky River,74
Lee,Kentucky River,75
Letcher,Kentucky River,76
Owsley,Kentucky River,77
Perry,Kentucky River,78
Wolfe,Kentucky River,79
Fayette,Lexington-Fayette,80
Jefferson,Louisville Metro,81
Oldham,Oldham County,82
Clark,Clark County,83
Jessamine,Jessamine County,84
Madison,Madison County,85
Mercer,Mercer County,86
Woodford,Woodford County,87
Boyd,Boyd County,88
Franklin,Franklin County,89
Lawrence,Lawrence County,90
Powell,Powell County,91
Shelby,Shelby County,92
Spencer,Spencer County,93
